Cell line	Cetuximab (EGFR)			Trastuzumab (ERBB2)			PS-1145 (IKK)			Baicalein (CYP2C9)			GW5074 (RAF1)			IKK 16 (IKK2)			Imatinib (BCR-ABL)			QNZ (NFkB)			FR180304 (ERK)			Everolimus (mTOR)			B581 (FTPase)			MG-132 (Proteasome)			Nilontinib (BCR-ABL)			Olomoucine II (CDK1)			PD184352 (MEK)			TCS PIM-11 (PIM1)			Valproate (HDAC)			Nelfinavir (Protease)			Disulfiram (ALDH2)			Mebendazole (Tubulin)			Chloroquine (Autophagy)			Bromopyruvate (Glycolysis)			Methylglyoxol (Pyruvate)			MG-132b (Proteasome)			MG-115 (Proteasome)			4-HC (DNA alkylator)			4-HC+Dox (Combination)			Doxorubicin (TOP2A)		
SUM149PT	7.061480275	2	1.268765127	NA	NA	NA	2.723538196	1	NA	4.295334815	2	0.373095987	4.477555766	1	NA	5.815308569	1	NA	4.665546249	1	NA	4.946921557	1	NA	4.73400363	2	0.046495164	5.420216403	1	NA	4.760200182	2	0.365487985	6.801342913	2	0.227886705	3.698970004	1	NA	5.177962752	2	0.12904506	4.907279355	2	0.034628457	4.48945499	1	NA	2.864136186	2	0.06483222	4.982966661	1	NA	NA	NA	NA	6.176525771	1	NA	NA	NA	NA	NA	NA	NA	4.764471553	1	NA	5.269217724	2	1.546184717	6.090925599	2	0.389697548	5.732828272	1	NA	5.339608902	2	0.000867722	6.716698771	1	NA
SUM159PT	6.164309429	2	0	NA	NA	NA	19.50168945	1	NA	3.821023053	3	0.268577972	4.477555766	1	NA	5.797511683	2	0.200576927	4.749579998	1	NA	4.477555766	1	NA	4.477555766	2	0	6.358525889	1	NA	5.002220569	2	0.235528447	7.273272791	1	NA	3.698970004	1	NA	5.317854924	1	NA	6.332547047	1	NA	4.463441557	1	NA	2.913640169	1	NA	4.762205007	2	0.402433346	6.645891561	2	0.436639632	6.692076296	2	0.081347308	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.255394125	2	0.1430148	6.727694156	2	0.315550534	NA	NA	NA	NA	NA	NA	NA	NA	NA
SUM185PE	6.164309429	2	0	5.142667504	1	NA	2.723538196	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.906578315	1	NA	NA	NA	NA	4.432973634	1	NA	5.804100348	1	NA	NA	NA	NA	7.010995384	1	NA	NA	NA	NA	5.982966661	1	NA	NA	NA	NA	4.671620397	1	NA	2.838631998	1	NA	5.236572006	1	NA	4.175874166	1	NA	6.295849483	1	NA	5.040958608	1	NA	7.393618635	1	NA	2.928117993	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SUM225CWN	NA	NA	NA	NA	NA	NA	2.723538196	2	0	4.434152181	1	NA	NA	NA	NA	5.510041521	1	NA	4.894830572	2	0.095866453	NA	NA	NA	4.619788758	1	NA	7.619788758	1	NA	4.491739694	2	0.019946682	7.015202743	2	0.133538908	3.698970004	2	0	5.279014256	1	NA	4.477555766	1	NA	4.52900183	2	0.042575512	2.763765137	2	0.072984745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SUM229PE	6.164309429	1	NA	NA	NA	NA	2.723538196	2	0	4.079615758	2	0.427486109	NA	NA	NA	5.995678626	1	NA	5.271646218	3	0.545430829	NA	NA	NA	4.477555766	1	NA	4.752026734	1	NA	4.477555766	1	NA	6.982966661	1	NA	3.698970004	1	NA	5.13076828	1	NA	6.250263684	1	NA	4.573488739	1	NA	2.651695137	1	NA	4.834458923	2	0.504606771	4.502793819	2	0.462397998	5.683610249	2	1.195068996	4.868381336	2	0.02489596	7.399789694	2	0.01911629	3.32817944	2	0.0923697	6.598599459	1	NA	6.400116928	1	NA	4.53165267	1	NA	4.698970004	1	NA	6.673664139	1	NA
SUM52PE	6.164309429	1	NA	NA	NA	NA	3.123205024	2	0.565257343	4.4225082	2	0.05422991	NA	NA	NA	5.935542011	1	NA	4.650139918	2	0.048053173	NA	NA	NA	4.493494968	1	NA	7.730487056	1	NA	4.927015255	2	0.261262869	7.119643801	2	0.06483222	4.215882184	2	0.73102438	5.193616498	2	0.133858125	4.175874166	1	NA	4.716925025	2	0.172018809	2.911544955	2	0.049992857	4.752517739	2	0.388811413	4.527682454	2	0.497482537	6.854803594	2	0.256477206	NA	NA	NA	NA	NA	NA	4.841637508	1	NA	6.970616222	1	NA	6.361510743	1	NA	4.913640169	1	NA	4.928117993	1	NA	6.598599459	1	NA
T47D	6.164309429	1	NA	NA	NA	NA	2.723538196	2	0	4.524328812	1	NA	NA	NA	NA	5.55129368	1	NA	4.787279846	2	0.039414119	NA	NA	NA	4.477555766	1	NA	5.920818754	1	NA	4.477555766	1	NA	6.966576245	1	NA	3.698970004	1	NA	5.181114585	1	NA	4.477555766	1	NA	4.175874166	1	NA	2.530177984	1	NA	4.876148359	1	NA	7.010995384	1	NA	5.657577319	1	NA	NA	NA	NA	NA	NA	NA	2.995678626	1	NA	6.533428928	2	0.272073788	6.231954186	2	0.054995862	5.307593765	2	0.274388796	5.355856949	2	0.28510703	7.26954074	2	0.381115081
T47DKBLUC	NA	NA	NA	NA	NA	NA	2.723538196	3	0	4.003970172	2	0.32056168	NA	NA	NA	5.37934352	2	0.200850498	4.673664139	3	0.11058971	NA	NA	NA	4	1	NA	5.004364805	1	NA	4.175874166	1	NA	6.76700389	1	NA	3.698970004	1	NA	NA	NA	NA	4.477555766	1	NA	3.876148359	1	NA	2.761953897	1	NA	4.477555766	1	NA	6.995678626	1	NA	4.580044252	1	NA	NA	NA	NA	7.276544328	1	NA	2.821023053	1	NA	6.495665088	2	0.165244326	6.01211039	2	0.335658452	5.048711063	2	0.165244326	5.090711476	2	0.134495856	6.974284616	2	0.054995862
UACC812	6.164309429	2	0	6.002176919	1	NA	2.723538196	1	NA	4.194703084	2	0.293583513	NA	NA	NA	5.090443971	3	0.011570444	4.982966661	1	NA	NA	NA	NA	4.561774192	2	0.118925753	7.490797478	1	NA	4.477555766	3	0	6.716698771	3	0.072617477	3.698970004	3	0.015359755	5.188961491	2	0.019531685	4.175874166	1	NA	3.876148359	2	0	2.59345982	3	0.15624619	4.477555766	1	NA	7.034328029	1	NA	4.903089987	1	NA	NA	NA	NA	7.105683937	1	NA	2.847711656	1	NA	6.469800302	1	NA	5.978810701	1	NA	5.101823517	1	NA	4.974694135	1	NA	6.640164518	1	NA
ZR751	6.164309429	2	0	NA	NA	NA	2.723538196	2	0	4.384049948	3	0.362293938	4.477555766	1	NA	5.289459552	2	0.004321374	4.557520231	1	NA	7.274905479	1	NA	5.229884705	1	NA	7.54668166	1	NA	4.175874166	1	NA	6.256882375	2	0.068556895	3.698970004	2	0	5.209714836	1	NA	4.26760624	1	NA	4.001740662	1	NA	2.779212224	2	0.300160537	4.93930216	1	NA	NA	NA	NA	6.623423043	1	NA	4.863279433	1	NA	7.378823718	1	NA	NA	NA	NA	6.213248578	1	NA	5.645891561	1	NA	5.139661993	1	NA	5.259637311	1	NA	7.110138279	1	NA
ZR7530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.73754891	1	NA	7.045757491	1	NA	6.350665141	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZR75B	6.164309429	2	0	5.142667504	1	NA	2.723538196	1	NA	4.36251027	1	NA	NA	NA	NA	NA	NA	NA	4.625251654	1	NA	NA	NA	NA	4.563837353	1	NA	NA	NA	NA	4.477555766	1	NA	6.397940009	1	NA	3.698970004	1	NA	5.229884705	1	NA	4.477555766	1	NA	3.876148359	1	NA	2.705533774	1	NA	5.134896025	1	NA	NA	NA	NA	6.812479279	1	NA	NA	NA	NA	NA	NA	NA	2.785156152	1	NA	5.677780705	1	NA	5.524328812	1	NA	4.744727495	1	NA	4.787812396	1	NA	7.403402904	1	NA
